elapsed_s	timestamp_ms	rss	cpu_percent
53760.0	1787676723760	12091392	0.0
53762.0	1787676725753	12091392	0.0
53764.0	1787676727755	12091392	0.0
53766.0	1787676729760	12091392	0.0
53768.0	1787676731760	12091392	0.0
53770.0	1787676733763	12091392	0.0
53772.0	1787676735754	12091392	0.0
53774.0	1787676737756	12091392	0.0
53776.0	1787676739763	12091392	0.0
53778.0	1787676741763	12091392	0.0
53780.0	1787676743763	12091392	0.0
53782.0	1787676745763	12091392	0.0
53784.0	1787676747756	12091392	0.0
53786.0	1787676749762	12091392	0.0
53788.0	1787676751762	12091392	0.0
53790.0	1787676753763	12091392	0.0
53792.0	1787676755763	12091392	0.0
53794.0	1787676757757	12091392	0.0
53796.0	1787676759760	12091392	0.0
53798.0	1787676761755	12091392	0.0
53800.0	1787676763763	12091392	0.0
53802.0	1787676765760	12091392	0.0
53804.0	1787676767763	12091392	0.0
53806.0	1787676769763	12091392	0.0
53808.0	1787676771763	12091392	0.0
53810.0	1787676773760	12091392	0.0
53812.0	1787676775761	12091392	0.0
53814.0	1787676777763	12091392	0.0
53816.0	1787676779761	12091392	0.0
53818.0	1787676781763	12091392	0.0
53820.0	1787676783761	12091392	0.0
53822.0	1787676785754	12091392	0.0
53824.0	1787676787763	12091392	0.0
53826.0	1787676789756	12091392	0.0
53828.0	1787676791764	12091392	0.0
53830.0	1787676793755	12091392	0.0
53832.0	1787676795759	12091392	0.0
53834.0	1787676797762	12091392	0.0
53836.0	1787676799761	12091392	0.0
53838.0	1787676801763	12091392	0.0
53840.0	1787676803761	12091392	0.0
53842.0	1787676805764	12091392	0.0
53844.0	1787676807761	12091392	0.0
53846.0	1787676809755	12091392	0.0
53848.0	1787676811761	12091392	0.0
53850.0	1787676813763	12091392	0.0
53852.0	1787676815761	12091392	0.0
53854.0	1787676817764	12091392	0.0
53856.0	1787676819754	12091392	0.0
53858.0	1787676821756	12091392	0.0
53860.0	1787676823764	12091392	0.0
53862.0	1787676825758	12091392	0.0
53864.0	1787676827754	12091392	0.0
53866.0	1787676829758	12091392	0.0
53868.0	1787676831756	12091392	0.0
53870.0	1787676833764	12091392	0.0
53872.0	1787676835764	12091392	0.0
53874.0	1787676837757	12091392	0.0
53876.0	1787676839762	12091392	0.0
53878.0	1787676841764	12091392	0.0
53880.0	1787676843763	12091392	0.0
53882.0	1787676845760	12091392	0.0
53884.0	1787676847762	12091392	0.0
53886.0	1787676849764	12091392	0.0
53888.0	1787676851762	12091392	0.0
53890.0	1787676853764	12091392	0.0
53892.0	1787676855764	12091392	0.0
53894.0	1787676857764	12091392	0.0
53896.0	1787676859758	12091392	0.0
53898.0	1787676861764	12091392	0.0
53900.0	1787676863764	12091392	0.0
53902.0	1787676865762	12091392	0.0
53904.0	1787676867762	12091392	0.0
53906.0	1787676869762	12091392	0.0
53908.0	1787676871760	12091392	0.0
53910.0	1787676873763	12091392	0.0
53912.0	1787676875762	12091392	0.0
53914.0	1787676877755	12091392	0.0
53916.0	1787676879762	12091392	0.0
53918.0	1787676881756	12091392	0.0
53920.0	1787676883756	12091392	0.0
53922.0	1787676885763	12091392	0.0
53924.0	1787676887764	12091392	0.0
53926.0	1787676889757	12091392	0.0
53928.0	1787676891763	12091392	0.0
53930.0	1787676893764	12091392	0.0
53932.0	1787676895764	12091392	0.0
53934.0	1787676897755	12091392	0.0
53936.0	1787676899755	12091392	0.0
53938.0	1787676901763	12091392	0.0
53940.0	1787676903764	12091392	0.0
53942.0	1787676905764	12091392	0.0
53944.0	1787676907764	12091392	0.0
53946.0	1787676909756	12091392	0.0
53948.0	1787676911763	12091392	0.0
53950.0	1787676913759	12091392	0.0
53952.0	1787676915762	12091392	0.0
53954.0	1787676917763	12091392	0.0
53956.0	1787676919756	12091392	0.0
53958.0	1787676921757	12091392	0.0
53960.0	1787676923756	12091392	0.0
53962.0	1787676925768	12091392	0.0
53964.0	1787676927770	12091392	0.0
53966.0	1787676929763	12091392	0.0
53968.0	1787676931765	12091392	0.0
53970.0	1787676933776	12091392	0.0
53972.0	1787676935768	12091392	0.0
53974.0	1787676937774	12091392	0.0
53976.0	1787676939779	12091392	0.0
53978.0	1787676941781	12091392	0.0
53980.0	1787676943773	12091392	0.0
53982.0	1787676945782	12091392	0.0
53984.0	1787676947783	12091392	0.0
53986.0	1787676949778	12091392	0.0
53988.0	1787676951785	12091392	0.0
53990.0	1787676953784	12091392	0.0
53992.0	1787676955782	12091392	0.0
53994.0	1787676957781	12091392	0.0
53996.0	1787676959786	12091392	0.0
53998.0	1787676961780	12091392	0.0
54000.0	1787676963786	12091392	0.0
54002.0	1787676965787	12091392	0.0
54004.0	1787676967786	12091392	0.0
54006.0	1787676969781	12091392	0.0
